timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,31.9500,32.1000,31.8500,32.0300,32.0300,23317482,0.0000,1.0000
2019-04-17,32.0800,32.2000,31.9500,31.9500,31.9500,22364832,0.0000,1.0000
2019-04-16,32.1200,32.2500,31.9400,32.2500,32.2500,21701920,0.0000,1.0000
2019-04-15,32.2100,32.2500,31.9400,32.0200,32.0200,19463704,0.0000,1.0000
2019-04-12,32.3000,32.3200,31.9600,32.2000,32.2000,26021137,0.0000,1.0000
2019-04-11,31.9200,32.2500,31.8800,32.2000,32.2000,24930873,0.0000,1.0000
2019-04-10,31.7500,32.0400,31.7400,31.8800,31.8800,20385934,0.0000,1.0000
2019-04-09,31.8500,31.8900,31.5400,31.7500,31.7500,26779029,0.5100,1.0000
2019-04-08,32.4500,32.5150,32.1900,32.3900,31.8779,37251965,0.0000,1.0000
2019-04-05,32.0700,32.3600,31.9200,32.3500,31.8386,39928718,0.0000,1.0000
2019-04-04,31.9500,32.1300,31.9200,31.9800,31.4744,28211971,0.0000,1.0000
2019-04-03,31.7968,31.9600,31.6400,31.8700,31.3662,28779967,0.0000,1.0000
2019-04-02,31.9100,31.9500,31.5500,31.6300,31.1300,31945765,0.0000,1.0000
2019-04-01,31.6000,31.9900,31.5400,31.9500,31.4449,37773767,0.0000,1.0000
2019-03-29,31.1600,31.3850,30.9700,31.3600,30.8642,31606530,0.0000,1.0000
2019-03-28,31.4200,31.5000,30.8700,31.0100,30.5198,26996419,0.0000,1.0000
2019-03-27,31.3100,31.6400,31.2500,31.4000,30.9036,26743641,0.0000,1.0000
2019-03-26,30.9700,31.4200,30.9400,31.3900,30.8938,24304939,0.0000,1.0000
2019-03-25,31.1000,31.1500,30.6500,30.7700,30.2836,25633279,0.0000,1.0000
2019-03-22,31.0000,31.3400,31.0000,31.0700,30.5788,33171404,0.0000,1.0000
2019-03-21,30.4500,31.1500,30.4500,31.0600,30.5690,26343293,0.0000,1.0000
2019-03-20,30.5900,30.7600,30.4000,30.5100,30.0277,24664904,0.0000,1.0000
2019-03-19,30.8700,31.0500,30.5600,30.6800,30.1950,28730520,0.0000,1.0000
2019-03-18,30.6800,30.8400,30.5866,30.8000,30.3131,23325108,0.0000,1.0000
2019-03-15,30.5100,30.6800,30.3000,30.6700,30.1851,53361640,0.0000,1.0000
2019-03-14,30.2800,30.4900,30.2100,30.2800,29.8013,22091439,0.0000,1.0000
2019-03-13,30.6500,30.7200,30.2100,30.2800,29.8013,27702221,0.0000,1.0000
2019-03-12,30.2500,30.8950,30.2200,30.6300,30.1458,32484586,0.0000,1.0000
2019-03-11,29.9800,30.3100,29.9450,30.2200,29.7423,26018525,0.0000,1.0000
2019-03-08,29.8500,30.0600,29.7400,29.9600,29.4864,22505948,0.0000,1.0000
2019-03-07,29.8600,30.0700,29.8000,29.9200,29.4470,24826103,0.0000,1.0000
2019-03-06,30.0000,30.1350,29.7650,29.8100,29.3387,24580343,0.0000,1.0000
2019-03-05,30.0200,30.0500,29.8000,29.9500,29.4765,26029791,0.0000,1.0000
2019-03-04,30.9500,30.9500,29.6700,29.9800,29.5060,49482743,0.0000,1.0000
2019-03-01,31.2000,31.2400,30.6400,30.8200,30.3328,30592851,0.0000,1.0000
2019-02-28,31.0600,31.2700,30.9700,31.1200,30.6280,28225982,0.0000,1.0000
2019-02-27,31.2300,31.2700,30.7800,31.0600,30.5690,26349549,0.0000,1.0000
2019-02-26,31.1400,31.4300,30.9600,31.2200,30.7264,29664844,0.0000,1.0000
